rule_id,domain,source_file,source_symbol,approx_chars,inject_path,used_by_features,engines,priority,tags,inject_mode,index_today,phase_target,notes
ANALYSIS-FIDELITY-A-K,analysis,knowledge_builder.py,ANALYSIS_FIDELITY_RULES,3200,knowledge_enrich_oneshot_system_prompt,analysis_enrich,analysis,required,fidelity;atomic;no-pad;layering;anti-toc,full_block,no,2,Injected on every enrich CLI call; not indexed
ANALYSIS-GUIDE-SUMMARY,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[SUMMARY_SCOPE],450,knowledge_builder (schema SoT),analysis_enrich;analysis_chat,analysis,required,summary;scope;babok,reference_only,no,3,Full guide not in enrich prompt today; schema reference + sanitize
ANALYSIS-GUIDE-FEATURES,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[FEATURES],900,knowledge_builder (schema SoT),analysis_enrich;analysis_chat,analysis,required,features;capability;fr;anti-widget,reference_only,no,2,Widget/button filter in sanitize; enrich via fidelity only
ANALYSIS-GUIDE-ACTORS,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[ACTORS_PERMISSIONS],400,knowledge_builder,analysis_enrich,analysis,required,actors;permissions;rbac,reference_only,no,3,
ANALYSIS-GUIDE-FLOWS,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[BUSINESS_FLOWS],700,knowledge_builder,analysis_enrich,analysis,required,flows;use-cases;mermaid;steps,reference_only,no,2,
ANALYSIS-GUIDE-EXEC-CTX,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[EXECUTION_CONTEXT],550,knowledge_builder,analysis_enrich,analysis,required,execution-context;auth;who,reference_only,no,3,Feeds E2E WHO; not separate retrieve today
ANALYSIS-GUIDE-BR,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[BUSINESS_RULES],350,knowledge_builder,analysis_enrich,analysis,required,business-rules;policy,reference_only,no,3,
ANALYSIS-GUIDE-VALIDATION,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[VALIDATION_DATA],650,knowledge_builder,analysis_enrich,analysis,required,validation;field;data-dictionary,reference_only,no,2,
ANALYSIS-GUIDE-API-UI,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[API_UI],300,knowledge_builder,analysis_enrich,analysis,required,api;ui-entry;interface,reference_only,no,3,
ANALYSIS-GUIDE-EXCEPTIONS,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[ERROR_HANDLING],300,knowledge_builder,analysis_enrich,analysis,required,exceptions;error-handling,reference_only,no,3,
ANALYSIS-GUIDE-AC,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[ACCEPTANCE],300,knowledge_builder,analysis_enrich,analysis,required,acceptance;outcome,reference_only,no,3,
ANALYSIS-GUIDE-NFR,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[NFR_CONSTRAINTS],280,knowledge_builder,analysis_enrich,analysis,required,constraints;nfr;smart,reference_only,no,3,
ANALYSIS-GUIDE-GAPS,analysis,knowledge_builder.py,ANALYSIS_CRITERIA_GUIDE[GAPS],250,knowledge_builder,analysis_enrich,analysis,required,gaps;tbd,reference_only,no,3,
ANALYSIS-ENRICH-SCHEMA,analysis,knowledge_builder.py,knowledge_enrich_oneshot_system_prompt (JSON keys),1200,knowledge_enrich_oneshot_system_prompt,analysis_enrich,analysis,required,schema;json-keys,full_block,no,2,Compact schema + fidelity; not full 12-bucket guide
ANALYSIS-ENRICH-USER-HINT,analysis,knowledge_builder.py,build_enrich_oneshot_prompt,800,build_enrich_oneshot_prompt,analysis_enrich,analysis,required,features;flows;anti-widget,full_block,no,2,Per-job user prompt excerpt instructions
